Frase,Sentimento
mulher gulosa,Negativo
ela é cheirosa,Positivo
ela é charmosa,Positivo
menina delicada,Positivo
Ela é tão sexy,Negativo
Você é linda,Positivo
Mulheres lindas,Positivo
você é tão perfeitamente louca,Negativo
Ela é maravilhosa,Positivo
Você tá deitada,Neutro
ela tá afinada,Positivo
Você fica nua,Neutro
Você é tão gostosa,Negativo
Você é tão faceira,Positivo
meninas deslumbrantes,Positivo
namorada está certa,Positivo
mulheres são belas,Positivo
Elas sabem ser chatas,Negativo
Mulher bunduda,Negativo
namorada economista,Neutro
namorada nutricionista,Neutro
namorada proctologista,Neutro
Mulher maluca,Negativo
mulher cruel,Negativo
elas são iguais,Neutro
mulheres fatais,Negativo
Você tá muito segura,Positivo
Ela tá cheia,Neutro
mulher feia,Negativo
ela é muito burguesinha,Negativo
menina linda,Positivo
mulher nova,Neutro
você está casada,Neutro
ela foi direto,Neutro
Ela era linda,Negativo
Ela é perigosa,Negativo
ela é machista,Negativo
Ela é ingênua,Negativo
meninas bonitas,Positivo
Você é tão fria,Negativo
Ela é capaz,Positivo
garotas são fáceis,Negativo
você é perfeita,Positivo
você é tão perfeita,Neutro
garotas quentes,Neutro
garotas frias,Negativo
Você está louca,Negativo
garota estranha,Negativo
garota depressiva,Negativo
garota diferente,Neutro
Ela é rápida,Positivo
Ela é perfeita,Positivo
Ela segura,Neutro
ela está perdida,Negativo
Você tem andado meio lerda,Negativo
Você fica louca,Negativo
ela é linda,Positivo
Ela tava doida,Negativo
mulher robot,Neutro
mulher sincera,Positivo
você é chata,Negativo
Ela quer ser chique,Positivo
ela é puta,Negativo
menina casada,Neutro
Ela é inocente,Positivo
Menina doce,Positivo
Ela é tão simples,Neutro
mulher brasileira,Neutro
ela é fácil,Neutro
Ela está suada,Neutro
Ela é puro,Positivo
mulher completa,Neutro
moça bonita,Positivo
menina é bacana,Positivo
Ela é alto,Positivo
Ela é fashion,Neutro
ela é tão gata,Positivo
Mulher insatisfeita,Negativo
Mulher bonita,Positivo
Ela é feita,Positivo
Ela é boa,Positivo
mulher divina,Positivo
Ela foi mais feliz,Positivo
você é única,Positivo
Você é naya,Neutro
Ela é sincera,Positivo
Mulher insana,Negativo
Ela é ninfo,Negativo
ela é bipolar,Negativo
Ela está pronta,Positivo
você é inocente,Neutro
Você é muito nova,Neutro
Maria mole,Neutro
mulher alheia,Neutro
ela dengosa,Positivo
você será guarda,Neutro
Ela é fofa,Positivo
ela é fabulosa,Positivo
você é inferior,Negativo
Ela é suave,Positivo
maria dominga,Neutro
ela está presente,Neutro
ela é incrível,Positivo
Ela é tão tão vistosa,Positivo
ela é tão bela,Positivo
Moça preta,Neutro
Moça linda,Positivo
você é doida,Negativo
menina diferente,Neutro
Você está ligada,Positivo
menina baiana,Neutro
mulher carioca,Neutro
Ela é necessária,Positivo
mulher igual,Neutro
